Team,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT - MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST,Season Type,Season
NEW YORK LIBERTY,36,16,20,40.4,58.6,41.4,47.9,8.4,36.5,9.9,15.5,16.9,39.5,64.3,35.7,86.8,13.2,71.9,28.1,Regular,2022
WASHINGTON MYSTICS,36,22,14,40.4,66.3,33.7,54.1,11.6,28.5,8.6,17.5,20.7,42.5,61.7,38.3,90.1,9.9,69.1,30.9,Regular,2022
MINNESOTA LYNX,36,14,22,40.3,70.7,29.3,56.7,12.3,24.9,9.8,18.5,15.9,44.4,62.9,37.1,87.0,13.0,68.4,31.6,Regular,2022
PHOENIX MERCURY,36,15,21,40.4,59.9,40.1,48.8,7.8,32.5,11.6,18.8,20.4,41.0,58.7,41.3,87.0,13.0,67.4,32.6,Regular,2022
CONNECTICUT SUN,36,25,11,40.3,73.9,26.1,59.4,13.2,22.3,14.7,18.3,22.4,46.2,60.5,39.5,88.3,11.7,66.1,33.9,Regular,2022
LAS VEGAS ACES,36,26,10,40.1,62.4,37.6,50.4,12.4,31.6,12.9,18.0,16.1,38.0,56.3,43.7,83.4,16.6,64.3,35.7,Regular,2022
INDIANA FEVER,36,5,31,40.3,71.0,29.0,55.3,13.3,26.2,11.6,18.5,19.5,42.0,55.3,44.7,89.8,10.2,63.6,36.4,Regular,2022
LOS ANGELES SPARKS,36,13,23,40.1,74.7,25.3,61.5,11.9,20.5,12.9,18.1,22.5,49.6,56.0,44.0,96.4,3.6,63.3,36.7,Regular,2022
DALLAS WINGS,36,18,18,40.1,66.9,33.1,52.8,11.8,28.0,13.8,19.1,18.2,41.1,56.0,44.0,83.9,16.1,63.3,36.7,Regular,2022
ATLANTA DREAM,36,14,22,40.3,68.7,31.3,54.1,13.8,28.8,12.7,17.2,20.0,40.3,52.6,47.4,84.9,15.1,61.1,38.9,Regular,2022
NEW YORK LIBERTY,40,32,8,40.4,57.6,42.4,47.2,7.3,37.3,13.1,15.5,17.6,39.8,66.7,33.3,90.8,9.2,75.0,25.0,Regular,2023
CONNECTICUT SUN,40,27,13,40.4,70.6,29.4,55.6,8.6,26.0,14.5,18.4,22.4,46.9,61.9,38.1,89.5,10.5,68.5,31.5,Regular,2023
PHOENIX MERCURY,40,9,31,40.1,67.7,32.3,56.5,11.9,26.5,9.5,17.0,17.0,44.6,60.1,39.9,89.7,10.3,67.2,32.8,Regular,2023
LOS ANGELES SPARKS,40,17,23,40.1,70.8,29.2,55.5,8.9,24.7,11.7,19.8,21.8,46.6,60.3,39.7,89.2,10.8,66.9,33.1,Regular,2023
CHICAGO SKY,40,18,22,40.3,68.1,31.9,55.0,14.0,30.3,14.7,14.7,18.0,41.0,58.1,41.9,89.7,10.3,66.6,33.4,Regular,2023
WASHINGTON MYSTICS,40,19,21,40.1,65.8,34.2,52.5,13.2,28.9,10.7,18.6,20.8,39.3,56.1,43.9,94.5,5.5,66.4,33.6,Regular,2023
MINNESOTA LYNX,40,19,21,40.3,69.2,30.8,56.4,12.1,25.3,10.7,18.3,17.4,44.3,59.5,40.5,88.5,11.5,66.2,33.8,Regular,2023
LAS VEGAS ACES,40,34,6,40.0,64.0,36.0,52.4,11.0,30.0,13.8,17.6,18.4,41.4,57.8,42.2,82.5,17.5,64.6,35.4,Regular,2023
SEATTLE STORM,40,11,29,40.1,64.4,35.6,49.1,8.4,32.4,13.8,18.6,16.8,40.7,55.9,44.1,80.3,19.7,63.4,36.6,Regular,2023
ATLANTA DREAM,40,19,21,40.3,72.1,27.9,55.7,12.4,23.4,12.8,21.0,17.6,43.3,56.0,44.0,88.7,11.3,63.2,36.8,Regular,2023
DALLAS WINGS,40,22,18,40.1,70.8,29.2,58.3,10.2,23.1,14.9,18.6,18.5,48.1,58.5,41.5,78.9,21.1,62.8,37.2,Regular,2023
INDIANA FEVER,40,13,27,40.4,71.0,29.0,57.9,12.4,24.9,10.7,17.2,16.5,45.5,52.5,47.5,84.8,15.2,59.7,40.3,Regular,2023
CLEVELAND ROCKERS,3,1,2,40.0,79.6,20.4,65.9,19.0,15.1,6.7,19.0,29.1,46.9,74.6,25.4,100.0,0.0,77.9,22.1,Playoffs,2001
LOS ANGELES SPARKS,7,6,1,40.0,74.9,25.1,62.5,15.1,19.1,16.8,18.3,19.1,47.5,67.9,32.1,90.9,9.1,71.8,28.2,Playoffs,2001
